id,性别,年龄,收入,消费得分
1,Female,22,128,29
2,Female,32,128,78
3,Female,20,94,34
4,Male,47,127,22
5,Female,39,56,84
6,Male,29,15,58
7,Male,31,123,28
8,Male,36,25,56
9,Female,52,96,43
10,Male,25,29,87
11,Female,24,73,77
12,Female,63,35,71
13,Male,53,108,62
14,Female,50,120,50
15,Female,25,56,23
16,Female,18,113,32
17,Female,21,92,83
18,Male,55,86,39
19,Female,23,44,77
20,Female,61,56,78
21,Male,43,123,83
22,Female,47,25,85
23,Male,58,73,44
24,Female,49,94,63
25,Male,64,54,60
26,Male,54,125,64
27,Male,57,110,23
28,Male,47,79,81
29,Male,30,91,57
30,Male,27,112,36
31,Female,52,38,83
32,Female,27,97,56
33,Female,39,85,46
34,Female,39,83,73
35,Male,33,34,85
36,Female,49,41,43
37,Female,52,31,44
38,Male,46,68,40
39,Female,55,124,42
40,Male,22,21,65
41,Male,39,122,48
42,Male,30,63,67
43,Female,18,55,24
44,Male,64,63,63
45,Female,64,78,78
46,Female,57,29,63
47,Male,57,25,55
48,Female,23,37,85
49,Female,33,52,85
50,Female,32,54,36
51,Female,50,74,85
52,Female,48,90,56
53,Male,58,40,87
54,Male,63,52,36
55,Male,58,20,38
56,Female,31,104,52
57,Female,31,42,56
58,Male,55,94,33
59,Male,55,113,56
60,Male,33,25,58
61,Female,54,96,64
62,Female,20,67,65
63,Female,21,48,62
64,Male,52,23,59
65,Female,48,30,67
66,Male,30,89,75
67,Female,20,117,33
68,Female,42,112,70
69,Female,27,130,83
70,Female,48,83,73
71,Female,63,34,33
72,Female,37,113,63
73,Female,36,107,84
74,Male,53,75,30
75,Female,34,57,59
76,Male,24,118,33
77,Female,59,41,28
78,Male,63,57,54
79,Male,23,119,68
80,Female,47,29,84
81,Male,25,20,39
82,Female,59,59,45
83,Male,63,46,22
84,Female,45,74,42
85,Male,51,93,83
86,Female,41,100,77
87,Female,18,113,40
88,Female,55,127,49
89,Female,33,84,79
90,Male,59,106,64
91,Male,56,21,39
92,Male,47,90,87
93,Female,25,25,48
94,Male,59,58,27
95,Male,24,38,82
96,Female,58,74,45
97,Male,21,58,63
98,Female,25,23,68
99,Male,20,102,65
100,Male,55,94,53
101,Male,48,30,37
102,Female,47,32,60
103,Male,64,79,81
104,Female,43,53,63
105,Female,22,106,79
106,Female,46,53,34
107,Female,39,77,66
108,Female,30,95,55
109,Female,45,43,84
110,Male,53,122,47
111,Male,47,90,52
112,Female,33,106,20
113,Female,43,79,58
114,Female,60,124,55
115,Female,32,47,68
116,Male,62,65,89
117,Female,43,109,56
118,Female,47,47,62
119,Male,45,97,31
120,Female,52,40,49
121,Male,62,108,50
122,Male,61,73,75
123,Female,40,48,76
124,Female,50,105,76
125,Male,28,53,63
126,Male,18,105,47
127,Female,27,99,72
128,Female,36,97,66
129,Female,46,23,55
130,Female,35,38,66
131,Male,32,95,67
132,Female,58,37,38
133,Female,64,88,65
134,Male,55,100,24
135,Female,43,65,29
136,Female,27,39,72
137,Male,47,95,53
138,Female,55,60,57
139,Female,45,108,52
140,Female,47,114,54
141,Female,24,108,49
142,Female,35,73,55
143,Female,44,23,69
144,Female,25,94,53
145,Male,56,69,56
146,Male,58,56,35
147,Male,42,63,37
148,Male,48,74,26
149,Male,24,80,72
150,Female,30,19,64
151,Male,60,20,52
152,Male,25,79,50
153,Male,31,125,70
154,Female,19,67,81
155,Male,30,59,86
156,Male,35,52,77
157,Female,25,44,65
158,Male,59,68,82
159,Male,42,99,61
160,Male,32,53,87
161,Male,24,125,31
162,Female,27,128,27
163,Female,42,87,82
164,Female,34,20,52
165,Male,26,112,80
166,Female,62,108,27
167,Female,59,124,67
168,Male,20,120,75
169,Male,35,85,51
170,Female,21,43,78
171,Male,29,78,71
172,Female,49,89,83
173,Male,43,104,50
174,Male,45,43,24
175,Male,48,120,89
176,Female,22,126,69
177,Male,28,117,57
178,Male,48,79,54
179,Male,18,108,81
180,Male,28,48,72
181,Male,57,40,39
182,Female,25,50,27
183,Female,54,68,22
184,Female,24,90,39
185,Male,47,100,42
186,Male,58,27,83
187,Female,60,32,23
188,Male,39,115,69
189,Female,20,49,89
190,Female,50,41,40
191,Female,29,90,69
192,Male,45,29,25
193,Female,33,30,51
194,Male,36,58,24
195,Male,53,81,45
196,Male,50,90,35
197,Male,38,76,38
198,Female,18,66,77
199,Female,45,61,51
200,Male,26,100,57
201,Male,55,84,55
202,Male,49,97,45
203,Female,58,17,74
204,Female,36,62,31
205,Female,52,37,79
206,Female,22,114,47
207,Female,28,47,64
208,Male,20,68,83
209,Male,62,115,28
210,Male,27,78,49
211,Female,48,77,21
212,Male,52,84,66
213,Male,30,84,59
214,Female,32,106,70
215,Female,54,57,21
216,Male,18,57,31
217,Female,39,61,80
218,Female,44,80,60
219,Female,21,43,49
220,Female,61,109,35
221,Female,46,91,22
222,Male,38,98,60
223,Female,36,40,23
224,Female,47,120,21
225,Male,57,99,44
226,Male,63,125,38
227,Female,37,114,77
228,Male,55,59,38
229,Male,61,97,45
230,Male,32,129,55
231,Female,53,55,72
232,Male,55,119,88
233,Male,44,129,46
234,Male,28,90,74
235,Female,58,43,22
236,Male,60,83,82
237,Male,32,82,85
238,Female,29,110,70
239,Female,31,98,62
240,Female,29,118,20
241,Male,33,99,40
242,Female,26,69,27
243,Female,49,116,34
244,Male,41,39,42
245,Female,23,64,39
246,Female,18,64,70
247,Female,35,29,85
248,Female,49,76,41
249,Female,27,110,63
250,Male,22,50,33
251,Male,64,40,34
252,Female,25,38,85
253,Female,50,72,87
254,Male,45,56,61
255,Male,29,77,72
256,Female,28,93,34
257,Female,48,48,34
258,Female,58,42,43
259,Female,41,50,34
260,Male,62,122,67
261,Male,49,56,65
262,Male,48,83,25
263,Female,56,102,23
264,Female,61,72,65
265,Male,45,60,69
266,Female,42,122,72
267,Female,43,54,69
268,Male,29,85,65
269,Female,41,24,59
270,Male,26,99,64
271,Female,58,57,47
272,Female,45,106,62
273,Male,63,68,58
274,Male,41,63,81
275,Male,42,113,40
276,Male,32,74,21
277,Male,62,95,29
278,Female,31,24,74
279,Male,25,88,45
280,Female,39,65,60
281,Male,41,21,62
282,Male,42,51,75
283,Male,46,121,21
284,Female,32,61,65
285,Female,43,89,62
286,Female,56,35,37
287,Female,41,55,81
288,Male,29,85,84
289,Male,41,83,54
290,Female,59,92,60
291,Male,22,91,84
292,Male,30,40,80
293,Male,47,47,29
294,Female,47,121,62
295,Male,46,111,33
296,Male,35,67,72
297,Female,33,61,47
298,Female,60,26,38
299,Male,52,81,52
300,Female,41,120,89
301,Male,56,28,35
302,Male,53,37,27
303,Female,29,128,75
304,Male,44,23,61
305,Female,26,59,39
306,Male,55,81,41
307,Female,38,99,41
308,Female,50,95,69
309,Male,23,51,63
310,Male,48,109,71
311,Female,47,111,64
312,Female,46,16,27
313,Male,41,118,23
314,Male,56,127,68
315,Male,22,99,31
316,Male,22,78,45
317,Male,45,30,65
318,Male,34,50,42
319,Female,21,46,46
320,Female,53,19,73
321,Female,42,74,81
322,Female,31,77,41
323,Male,29,26,31
324,Female,61,118,63
325,Female,64,28,69
326,Male,36,120,87
327,Female,24,18,35
328,Female,28,15,20
329,Male,23,30,64
330,Female,45,110,77
331,Female,51,39,83
332,Male,50,32,59
333,Male,31,54,40
334,Male,37,21,64
335,Male,56,92,20
336,Male,34,64,26
337,Male,23,51,42
338,Female,53,18,72
339,Male,41,71,57
340,Male,28,35,20
341,Male,50,88,89
342,Female,53,39,87
343,Female,54,35,61
344,Male,23,63,77
345,Female,23,124,88
346,Female,45,93,82
347,Female,41,23,89
348,Female,53,21,68
349,Female,46,33,48
350,Male,55,111,45
351,Male,64,114,67
352,Female,53,23,25
353,Male,24,31,24
354,Female,51,47,41
355,Female,22,21,58
356,Female,36,56,27
357,Male,61,32,64
358,Male,52,38,50
359,Male,35,111,34
360,Female,23,83,24
361,Male,25,125,24
362,Male,33,48,41
363,Female,42,47,83
364,Male,47,95,41
365,Male,52,114,52
366,Male,54,22,43
367,Male,41,16,87
368,Female,46,110,33
369,Male,35,34,61
370,Female,56,117,38
371,Male,51,85,30
372,Female,46,84,39
373,Female,30,21,45
374,Male,43,29,46
375,Male,28,66,47
376,Female,34,101,64
377,Female,51,81,38
378,Male,35,122,24
379,Male,42,63,38
380,Female,18,61,63
381,Male,46,40,83
382,Female,31,116,27
383,Male,27,120,42
384,Male,44,72,39
385,Male,29,43,59
386,Male,40,63,34
387,Female,31,86,52
388,Female,51,105,86
389,Female,23,128,76
390,Male,63,89,21
391,Female,49,124,63
392,Female,64,129,64
393,Male,26,66,64
394,Female,18,21,53
395,Male,45,51,22
396,Female,26,68,65
397,Female,21,120,22
398,Male,48,61,75
399,Female,56,118,81
400,Female,60,81,67
401,Male,41,81,51
402,Female,19,100,69
403,Female,28,99,65
404,Female,34,15,66
405,Male,57,82,34
406,Female,40,25,71
407,Male,48,17,70
408,Male,56,116,72
409,Male,24,35,59
410,Female,37,41,42
411,Male,21,26,77
412,Female,42,56,70
413,Male,61,24,76
414,Female,18,21,42
415,Female,49,116,89
416,Female,49,75,67
417,Male,47,69,64
418,Female,62,120,20
419,Male,20,129,79
420,Female,54,98,87
421,Male,40,17,28
